vote_id,bill_id,legislator_id,vote,date
VB1000_1,B1000,1,1,2019-01-01
VB1000_2,B1000,2,1,2019-01-01
VB1000_3,B1000,3,1,2019-01-01
VB1000_4,B1000,4,1,2019-01-01
VB1000_5,B1000,5,-1,2019-01-01
VB1000_6,B1000,6,1,2019-01-01
VB1000_7,B1000,7,-1,2019-01-01
VB1000_8,B1000,8,1,2019-01-01
VB1000_9,B1000,9,-1,2019-01-01
VB1000_10,B1000,10,1,2019-01-01
VB1000_11,B1000,11,1,2019-01-01
VB1000_12,B1000,12,1,2019-01-01
VB1000_13,B1000,13,1,2019-01-01
VB1000_14,B1000,14,1,2019-01-01
VB1000_15,B1000,15,1,2019-01-01
VB1000_16,B1000,16,1,2019-01-01
VB1000_17,B1000,17,1,2019-01-01
VB1000_18,B1000,18,1,2019-01-01
VB1000_19,B1000,19,1,2019-01-01
VB1000_20,B1000,20,-1,2019-01-01
VB1000_21,B1000,21,1,2019-01-01
VB1000_22,B1000,22,-1,2019-01-01
VB1000_23,B1000,23,1,2019-01-01
VB1000_24,B1000,24,1,2019-01-01
VB1000_25,B1000,25,0,2019-01-01
VB1000_26,B1000,26,1,2019-01-01
VB1000_27,B1000,27,-1,2019-01-01
VB1000_28,B1000,28,-1,2019-01-01
VB1000_29,B1000,29,-1,2019-01-01
VB1000_30,B1000,30,1,2019-01-01
VB1001_1,B1001,1,1,2019-01-31
VB1001_2,B1001,2,1,2019-01-31
VB1001_3,B1001,3,1,2019-01-31
VB1001_4,B1001,4,1,2019-01-31
VB1001_5,B1001,5,-1,2019-01-31
VB1001_6,B1001,6,1,2019-01-31
VB1001_7,B1001,7,-1,2019-01-31
VB1001_8,B1001,8,1,2019-01-31
VB1001_9,B1001,9,1,2019-01-31
VB1001_10,B1001,10,1,2019-01-31
VB1001_11,B1001,11,1,2019-01-31
VB1001_12,B1001,12,1,2019-01-31
VB1001_13,B1001,13,1,2019-01-31
VB1001_14,B1001,14,-1,2019-01-31
VB1001_15,B1001,15,-1,2019-01-31
VB1001_16,B1001,16,1,2019-01-31
VB1001_17,B1001,17,-1,2019-01-31
VB1001_18,B1001,18,1,2019-01-31
VB1001_19,B1001,19,-1,2019-01-31
VB1001_20,B1001,20,-1,2019-01-31
VB1001_21,B1001,21,1,2019-01-31
VB1001_22,B1001,22,1,2019-01-31
VB1001_23,B1001,23,-1,2019-01-31
VB1001_24,B1001,24,1,2019-01-31
VB1001_25,B1001,25,1,2019-01-31
VB1001_26,B1001,26,1,2019-01-31
VB1001_27,B1001,27,-1,2019-01-31
VB1001_28,B1001,28,1,2019-01-31
VB1001_29,B1001,29,1,2019-01-31
VB1001_30,B1001,30,1,2019-01-31
VB1002_1,B1002,1,1,2019-03-02
VB1002_2,B1002,2,1,2019-03-02
VB1002_3,B1002,3,1,2019-03-02
VB1002_4,B1002,4,1,2019-03-02
VB1002_5,B1002,5,1,2019-03-02
VB1002_6,B1002,6,1,2019-03-02
VB1002_7,B1002,7,1,2019-03-02
VB1002_8,B1002,8,1,2019-03-02
VB1002_9,B1002,9,1,2019-03-02
VB1002_10,B1002,10,-1,2019-03-02
VB1002_11,B1002,11,-1,2019-03-02
VB1002_12,B1002,12,-1,2019-03-02
VB1002_13,B1002,13,1,2019-03-02
VB1002_14,B1002,14,1,2019-03-02
VB1002_15,B1002,15,1,2019-03-02
VB1002_16,B1002,16,-1,2019-03-02
VB1002_17,B1002,17,1,2019-03-02
VB1002_18,B1002,18,-1,2019-03-02
VB1002_19,B1002,19,-1,2019-03-02
VB1002_20,B1002,20,-1,2019-03-02
VB1002_21,B1002,21,1,2019-03-02
VB1002_22,B1002,22,0,2019-03-02
VB1002_23,B1002,23,1,2019-03-02
VB1002_24,B1002,24,-1,2019-03-02
VB1002_25,B1002,25,-1,2019-03-02
VB1002_26,B1002,26,1,2019-03-02
VB1002_27,B1002,27,1,2019-03-02
VB1002_28,B1002,28,1,2019-03-02
VB1002_29,B1002,29,-1,2019-03-02
VB1002_30,B1002,30,1,2019-03-02
VB1003_1,B1003,1,1,2019-04-01
VB1003_2,B1003,2,1,2019-04-01
VB1003_3,B1003,3,1,2019-04-01
VB1003_4,B1003,4,1,2019-04-01
VB1003_5,B1003,5,-1,2019-04-01
VB1003_6,B1003,6,1,2019-04-01
VB1003_7,B1003,7,1,2019-04-01
VB1003_8,B1003,8,1,2019-04-01
VB1003_9,B1003,9,-1,2019-04-01
VB1003_10,B1003,10,-1,2019-04-01
VB1003_11,B1003,11,-1,2019-04-01
VB1003_12,B1003,12,1,2019-04-01
VB1003_13,B1003,13,0,2019-04-01
VB1003_14,B1003,14,1,2019-04-01
VB1003_15,B1003,15,-1,2019-04-01
VB1003_16,B1003,16,0,2019-04-01
VB1003_17,B1003,17,-1,2019-04-01
VB1003_18,B1003,18,1,2019-04-01
VB1003_19,B1003,19,-1,2019-04-01
VB1003_20,B1003,20,1,2019-04-01
VB1003_21,B1003,21,1,2019-04-01
VB1003_22,B1003,22,-1,2019-04-01
VB1003_23,B1003,23,-1,2019-04-01
VB1003_24,B1003,24,1,2019-04-01
VB1003_25,B1003,25,-1,2019-04-01
VB1003_26,B1003,26,1,2019-04-01
VB1003_27,B1003,27,1,2019-04-01
VB1003_28,B1003,28,1,2019-04-01
VB1003_29,B1003,29,-1,2019-04-01
VB1003_30,B1003,30,1,2019-04-01
VB1004_1,B1004,1,1,2019-05-01
VB1004_2,B1004,2,1,2019-05-01
VB1004_3,B1004,3,1,2019-05-01
VB1004_4,B1004,4,1,2019-05-01
VB1004_5,B1004,5,1,2019-05-01
VB1004_6,B1004,6,-1,2019-05-01
VB1004_7,B1004,7,-1,2019-05-01
VB1004_8,B1004,8,1,2019-05-01
VB1004_9,B1004,9,1,2019-05-01
VB1004_10,B1004,10,-1,2019-05-01
VB1004_11,B1004,11,0,2019-05-01
VB1004_12,B1004,12,1,2019-05-01
VB1004_13,B1004,13,-1,2019-05-01
VB1004_14,B1004,14,1,2019-05-01
VB1004_15,B1004,15,-1,2019-05-01
VB1004_16,B1004,16,0,2019-05-01
VB1004_17,B1004,17,1,2019-05-01
VB1004_18,B1004,18,-1,2019-05-01
VB1004_19,B1004,19,1,2019-05-01
VB1004_20,B1004,20,-1,2019-05-01
VB1004_21,B1004,21,1,2019-05-01
VB1004_22,B1004,22,1,2019-05-01
VB1004_23,B1004,23,0,2019-05-01
VB1004_24,B1004,24,1,2019-05-01
VB1004_25,B1004,25,1,2019-05-01
VB1004_26,B1004,26,1,2019-05-01
VB1004_27,B1004,27,0,2019-05-01
VB1004_28,B1004,28,1,2019-05-01
VB1004_29,B1004,29,1,2019-05-01
VB1004_30,B1004,30,-1,2019-05-01
VB1005_1,B1005,1,-1,2019-05-31
VB1005_2,B1005,2,1,2019-05-31
VB1005_3,B1005,3,1,2019-05-31
VB1005_4,B1005,4,-1,2019-05-31
VB1005_5,B1005,5,1,2019-05-31
VB1005_6,B1005,6,1,2019-05-31
VB1005_7,B1005,7,-1,2019-05-31
VB1005_8,B1005,8,-1,2019-05-31
VB1005_9,B1005,9,-1,2019-05-31
VB1005_10,B1005,10,-1,2019-05-31
VB1005_11,B1005,11,-1,2019-05-31
VB1005_12,B1005,12,1,2019-05-31
VB1005_13,B1005,13,1,2019-05-31
VB1005_14,B1005,14,1,2019-05-31
VB1005_15,B1005,15,-1,2019-05-31
VB1005_16,B1005,16,1,2019-05-31
VB1005_17,B1005,17,1,2019-05-31
VB1005_18,B1005,18,1,2019-05-31
VB1005_19,B1005,19,-1,2019-05-31
VB1005_20,B1005,20,1,2019-05-31
VB1005_21,B1005,21,1,2019-05-31
VB1005_22,B1005,22,-1,2019-05-31
VB1005_23,B1005,23,1,2019-05-31
VB1005_24,B1005,24,-1,2019-05-31
VB1005_25,B1005,25,1,2019-05-31
VB1005_26,B1005,26,0,2019-05-31
VB1005_27,B1005,27,0,2019-05-31
VB1005_28,B1005,28,-1,2019-05-31
VB1005_29,B1005,29,-1,2019-05-31
VB1005_30,B1005,30,0,2019-05-31
VB1006_1,B1006,1,-1,2019-06-30
VB1006_2,B1006,2,-1,2019-06-30
VB1006_3,B1006,3,1,2019-06-30
VB1006_4,B1006,4,-1,2019-06-30
VB1006_5,B1006,5,-1,2019-06-30
VB1006_6,B1006,6,1,2019-06-30
VB1006_7,B1006,7,-1,2019-06-30
VB1006_8,B1006,8,1,2019-06-30
VB1006_9,B1006,9,-1,2019-06-30
VB1006_10,B1006,10,-1,2019-06-30
VB1006_11,B1006,11,1,2019-06-30
VB1006_12,B1006,12,1,2019-06-30
VB1006_13,B1006,13,-1,2019-06-30
VB1006_14,B1006,14,-1,2019-06-30
VB1006_15,B1006,15,1,2019-06-30
VB1006_16,B1006,16,1,2019-06-30
VB1006_17,B1006,17,0,2019-06-30
VB1006_18,B1006,18,-1,2019-06-30
VB1006_19,B1006,19,-1,2019-06-30
VB1006_20,B1006,20,-1,2019-06-30
VB1006_21,B1006,21,1,2019-06-30
VB1006_22,B1006,22,1,2019-06-30
VB1006_23,B1006,23,-1,2019-06-30
VB1006_24,B1006,24,1,2019-06-30
VB1006_25,B1006,25,-1,2019-06-30
VB1006_26,B1006,26,-1,2019-06-30
VB1006_27,B1006,27,1,2019-06-30
VB1006_28,B1006,28,-1,2019-06-30
VB1006_29,B1006,29,-1,2019-06-30
VB1006_30,B1006,30,1,2019-06-30
VB1007_1,B1007,1,-1,2019-07-30
VB1007_2,B1007,2,-1,2019-07-30
VB1007_3,B1007,3,1,2019-07-30
VB1007_4,B1007,4,1,2019-07-30
VB1007_5,B1007,5,1,2019-07-30
VB1007_6,B1007,6,-1,2019-07-30
VB1007_7,B1007,7,1,2019-07-30
VB1007_8,B1007,8,-1,2019-07-30
VB1007_9,B1007,9,-1,2019-07-30
VB1007_10,B1007,10,1,2019-07-30
VB1007_11,B1007,11,-1,2019-07-30
VB1007_12,B1007,12,-1,2019-07-30
VB1007_13,B1007,13,1,2019-07-30
VB1007_14,B1007,14,1,2019-07-30
VB1007_15,B1007,15,1,2019-07-30
VB1007_16,B1007,16,1,2019-07-30
